                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4346,                 4.2318,                  2.312,                0.04676,                 0.1073,                0.02097,                0.00395,                   3.05,                  4.774,                 3.0043,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 2.0564,                 3.6132,                 1.9842,                0.71682,                0.40741,                0.42532,                0.26559,                 1.6103,                 3.1435,                 1.8063,             0.00012836,             0.00012836,             0.00012836
                      3,                 1.3353,                 1.9119,                  1.412,                0.86128,                0.68417,                0.80594,                0.51102,                 1.2494,                 1.5111,                 1.3132,             0.00019927,             0.00019927,             0.00019927
                      4,                 1.1985,                 1.4037,                 1.2448,                 0.7989,                0.75265,                0.85086,                 0.5401,                 1.2282,                 1.7482,                 1.2578,              0.0002699,              0.0002699,              0.0002699
                      5,                 1.1882,                 1.3464,                 1.2335,                0.86353,                0.84579,                0.89391,                0.55132,                 1.1936,                 1.4449,                 1.2205,             0.00034024,             0.00034024,             0.00034024
                      6,                 1.1251,                 1.1286,                 1.1751,                0.87087,                0.87563,                0.90745,                0.57792,                 1.2154,                  1.361,                 1.2259,             0.00041031,             0.00041031,             0.00041031
                      7,                  1.186,                  1.148,                  1.194,                0.81915,                0.57588,                0.70713,                0.37879,                 1.4264,                 1.9286,                 1.3987,             0.00048009,             0.00048009,             0.00048009
                      8,                 1.0838,                 1.0918,                 1.1658,                0.77563,                0.77321,                0.82951,                0.53098,                  1.253,                 1.6001,                  1.294,             0.00054959,             0.00054959,             0.00054959
                      9,                 1.0834,                0.93329,                 1.1289,                0.83273,                0.84551,                0.88458,                0.55877,                 1.2125,                 1.4628,                 1.2324,              0.0006188,              0.0006188,              0.0006188
                     10,                 1.1356,                0.99263,                 1.1398,                0.69087,                0.78496,                0.76102,                0.48754,                 1.3006,                 1.6867,                 1.2847,             0.00068773,             0.00068773,             0.00068773
                     11,                 1.1806,                0.99515,                 1.1624,                0.68617,                0.77727,                0.86946,                0.55733,                 1.3136,                 2.4655,                 1.2466,             0.00075638,             0.00075638,             0.00075638
                     12,                 1.0992,                0.91499,                 1.1014,                0.86702,                0.75951,                0.86119,                0.56575,                 1.2355,                 1.9559,                 1.2123,             0.00082475,             0.00082475,             0.00082475
                     13,                 1.1474,                0.88507,                 1.1128,                0.74219,                0.72111,                 0.8685,                0.55184,                 1.2076,                  2.373,                 1.2235,             0.00089283,             0.00089283,             0.00089283
                     14,                 1.0928,                0.88141,                 1.1457,                0.88701,                0.83752,                0.88469,                0.54273,                 1.3391,                 1.4241,                 1.3216,             0.00096063,             0.00096063,             0.00096063
                     15,                 1.0902,                0.84918,                  1.151,                0.83941,                0.82863,                0.88737,                0.52719,                 1.4182,                 1.3531,                  1.374,              0.0010281,              0.0010281,              0.0010281
                     16,                 1.1724,                0.89459,                  1.185,                0.67956,                0.85065,                0.85181,                0.51667,                 1.4711,                 1.7515,                 1.4278,              0.0010954,              0.0010954,              0.0010954
                     17,                  1.125,                0.85983,                  1.135,                0.77139,                0.64791,                0.67617,                0.37013,                 1.6438,                 1.9311,                 1.4787,              0.0011623,              0.0011623,              0.0011623
                     18,                 1.0737,                0.80843,                 1.1063,                0.61726,                0.43886,                 0.4802,                0.26982,                  1.889,                 2.5104,                 1.7128,               0.001229,               0.001229,               0.001229
                     19,                 1.0826,                0.80217,                 1.0847,                0.72489,                0.38693,                0.38445,                0.19197,                 2.0066,                 2.9332,                  2.016,              0.0012954,              0.0012954,              0.0012954
                     20,                 1.1725,                0.90014,                 1.1529,                0.74664,                0.30327,                0.38729,                0.17834,                 2.2162,                 2.9702,                 2.1394,              0.0013615,              0.0013615,              0.0013615
